time,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka]
2025-03-18T17:15:59+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:00+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:01+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:02+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:03+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:04+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:05+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:06+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:07+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:08+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:09+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:10+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:11+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:12+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:13+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:14+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:15+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:16+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:17+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:18+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:19+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:20+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:21+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:22+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:23+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:24+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:25+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:26+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:27+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:28+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:29+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:30+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:31+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:32+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:33+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:34+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:35+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:36+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:37+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:38+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:39+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:40+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:41+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:42+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:43+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:44+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:45+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:46+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:47+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:48+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:49+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:50+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:51+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:52+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:53+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:54+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:55+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:56+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:57+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:58+01:00,0.000000,0.000000,0.000000
2025-03-18T17:16:59+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:00+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:01+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:02+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:03+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:04+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:05+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:06+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:07+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:08+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:09+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:10+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:11+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:12+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:13+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:14+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:15+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:16+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:17+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:18+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:19+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:20+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:21+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:22+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:23+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:24+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:25+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:26+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:27+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:28+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:29+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:30+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:31+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:32+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:33+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:34+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:35+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:36+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:37+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:38+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:39+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:40+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:41+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:42+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:43+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:44+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:45+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:46+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:47+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:48+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:49+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:50+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:51+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:52+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:53+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:54+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:55+01:00,0.000000,0.000000,0.000000
2025-03-18T17:17:56+01:00,0.000000,0.000000,0.000000
